MAYV,Species,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Animal,Gums,Nectar,Other,IUCN,Pop_T,BodyMass,HomeRange,X1.1_ActivityCycle,X13.1_AdultHeadBodyLen_mm,X3.1_AgeatFirstBirth_d,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X21.1_PopulationDensity_n.km2,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X16.2_LittersPerYear_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Aridity (precip/PET),BodySizeRatio (AdultBodyMass/NeonateBodyMass),RelAgeSexMat (Age at sexual maturity/maximum longevity)
0,Cheracebus lugens,Frugivore,59.4,6.4,3.9,26.9,3.4,NA,NA,NA,LC,NA,1.37,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Cheracebus medemi,NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,D,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36587.57,0.95,-1.66,-0.35,-74.42,-76.71,-75.56,1,5.6,1,0.15,152.17,292.08,1435.56,1446.17,0.105222761,NA,NA
0,Cheracebus purinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,1.5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Cheracebus regulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Cheracebus torquatus,Frugivore,65,15,NA,NA,16,NA,NA,4,LC,NA,1.25,21.125,3,294.99,NA,4,NA,1,0.11,0.14,NA,1.01,NA,NA,10.2,1683.65,3.85,2,2,121.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Chiropotes albinasus,Frugivore,53.9,NA,3,35.9,NA,NA,NA,7.2,EN,D,2.82,605,3,440,NA,3,157.67,1,1.98,3,NA,1.01,204,NA,6.57,NA,22.5,2,1,NA,NA,660974.43,-1.78,-15.04,-8.41,-52.12,-61.81,-56.96,0,1.95,0,0.15,175.97,249.2,1323.7,1547.94,0.113680117,NA,NA
0,Chiropotes chiropotes,Frugivore,54,7,NA,36,NA,NA,NA,3,LC,S,2.74,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Chiropotes satanas,Frugivore,91.25,2.5,6.25,NA,NA,NA,NA,NA,CR,D,2.885,58,3,416.26,NA,3,157.67,1,1.48,2.25,NA,1,216,NA,15.6,NA,14.4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Chiropotes utahickae,Frugivore,5.4,0.1,18.9,75.6,NA,NA,NA,NA,EN,D,3,78.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,Lagothrix flavicauda,Frugivore,NA,NA,NA,NA,NA,NA,NA,NA,CR,D,7.25,114.5,3,550.38,NA,4,225,2,NA,NA,NA,1,NA,NA,6.46,1683.65,9.1,2,1,NA,NA,33168.59,-6.26,-9.51,-7.89,-76.03,-77.97,-77,4,14.6,5,0.15,127.89,164.83,1191.15,1482.23,0.086282156,NA,NA
